Date,Ledger Code,Payment Code,Account No.,Product Code,Application Code,Disbursement Code,Account Type,Transaction Type,Amount,Ref Id,Details,Contact,Remarks
28-08-2024,,,022,,,,3003,3012,"187,000",,Current Savings Balance,,Savings
28-08-2024,,,031,,,,3003,3012,"395,000",,Current Savings Balance,,Savings
28-08-2024,,,069,,,,3003,3012,"95,000",,Current Savings Balance,,Savings
28-08-2024,,,097,,,,3003,3012,"3,000",,Current Savings Balance,,Savings
28-08-2024,,,006,,,,3003,3012,"73,000",,Current Savings Balance,,Savings
28-08-2024,,,038,,,,3003,3012,"13,000",,Current Savings Balance,,Savings
28-08-2024,,,026,,,,3003,3012,"19,000",,Current Savings Balance,,Savings
28-08-2024,,,032,,,,3003,3012,"95,000",,Current Savings Balance,,Savings
28-08-2024,,,012,,,,3003,3012,"100,000",,Current Savings Balance,,Savings
28-08-2024,,,024,,,,3003,3012,"392,000",,Current Savings Balance,,Savings
28-08-2024,,,021,,,,3003,3012,"95,000",,Current Savings Balance,,Savings
28-08-2024,,,020,,,,3003,3012,"33,000",,Current Savings Balance,,Savings
28-08-2024,,,025,,,,3003,3012,"197,000",,Current Savings Balance,,Savings
28-08-2024,,,017,,,,3003,3012,"54,000",,Current Savings Balance,,Savings
28-08-2024,,,099,,,,3003,3012,"18,000",,Current Savings Balance,,Savings
28-08-2024,,,082,,,,3003,3012,"510,000",,Current Savings Balance,,Savings
28-08-2024,,,090,,,,3003,3012,"135,000",,Current Savings Balance,,Savings
28-08-2024,,,075,,,,3003,3012,"36,000",,Current Savings Balance,,Savings
28-08-2024,,,059,,,,3003,3012,"3,000",,Current Savings Balance,,Savings
28-08-2024,,,087,,,,3003,3012,"135,000",,Current Savings Balance,,Savings
28-08-2024,,,061,,,,3003,3012,"51,000",,Current Savings Balance,,Savings
28-08-2024,,,047,,,,3003,3012,"3,000",,Current Savings Balance,,Savings
28-08-2024,,,078,,,,3003,3012,"88,000",,Current Savings Balance,,Savings
28-08-2024,,,098,,,,3003,3012,"5,000",,Current Savings Balance,,Savings
28-08-2024,,,029,,,,3003,3012,"622,000",,Current Savings Balance,,Savings
28-08-2024,,,065,,,,3003,3012,"9,000",,Current Savings Balance,,Savings
28-08-2024,,,076,,,,3003,3012,"11,000",,Current Savings Balance,,Savings
28-08-2024,,,060,,,,3003,3012,"6,000",,Current Savings Balance,,Savings
28-08-2024,,,068,,,,3003,3012,"24,000",,Current Savings Balance,,Savings
28-08-2024,,,084,,,,3003,3012,"17,000",,Current Savings Balance,,Savings
28-08-2024,,,070,,,,3003,3012,"117,000",,Current Savings Balance,,Savings
28-08-2024,,,077,,,,3003,3012,"108,000",,Current Savings Balance,,Savings
28-08-2024,,,094,,,,3003,3012,"102,000",,Current Savings Balance,,Savings
28-08-2024,,,052,,,,3003,3012,"123,000",,Current Savings Balance,,Savings
28-08-2024,,,079,,,,3003,3012,"18,000",,Current Savings Balance,,Savings
28-08-2024,,,081,,,,3003,3012,"21,000",,Current Savings Balance,,Savings
28-08-2024,,,089,,,,3003,3012,"51,000",,Current Savings Balance,,Savings
28-08-2024,,,096,,,,3003,3012,"8,000",,Current Savings Balance,,Savings
28-08-2024,,,072,,,,3003,3012,"35,000",,Current Savings Balance,,Savings
28-08-2024,,,100,,,,3003,3012,"46,000",,Current Savings Balance,,Savings
28-08-2024,,,095,,,,3003,3012,"32,000",,Current Savings Balance,,Savings
28-08-2024,,,064,,,,3003,3012,"30,000",,Current Savings Balance,,Savings
28-08-2024,,,067,,,,3003,3012,"43,000",,Current Savings Balance,,Savings
28-08-2024,,,058,,,,3003,3012,"14,000",,Current Savings Balance,,Savings
28-08-2024,,,028,,,,3003,3012,"63,000",,Current Savings Balance,,Savings
28-08-2024,,,003,,,,3003,3012,"80,000",,Current Savings Balance,,Savings
28-08-2024,,,056,,,,3003,3012,"3,000",,Current Savings Balance,,Savings
28-08-2024,,,055,,,,3003,3012,"10,000",,Current Savings Balance,,Savings
28-08-2024,,,057,,,,3003,3012,"18,000",,Current Savings Balance,,Savings
28-08-2024,,,005,,,,3003,3012,"18,000",,Current Savings Balance,,Savings
28-08-2024,,,002,,,,3003,3012,"109,000",,Current Savings Balance,,Savings
28-08-2024,,,205,,,,3003,3012,"52,000",,Current Savings Balance,,Savings
28-08-2024,,,201,,,,3003,3012,"30,000",,Current Savings Balance,,Savings
28-08-2024,,,202,,,,3003,3012,"2,000",,Current Savings Balance,,Savings
